ENSEMBL,mean.nrc.f,mean.nrc.m,pvalue,stderr,foldchangesMF,log2FoldChangeMF,ENTREZID,SYMBOL
FBgn0263235,215.5496833,425.8989451,0.009685674,56.32671173,1.975873676,0.982490714,34638,Phae2
FBgn0032414,47.21537016,74.31938864,0.008311438,7.012212925,1.574050746,0.654482053,34639,CG17211
FBgn0032416,0.51725681,3.415467907,0.000388405,0.407493903,6.603040969,2.723130597,34641,Gr33a
FBgn0051760,51.82165044,154.4174748,1.87E-05,8.427578223,2.979786894,1.575209157,34642,CG31760
FBgn0051861,0.514989635,188.4431567,2.34E-05,16.05217918,365.9164069,8.515370294,318988,CG31861
FBgn0051860,0.18504865,197.6020618,4.92E-07,8.737777962,1067.838443,10.06047768,326167,ZnT33D
FBgn0032419,0,80.21161314,4.77E-05,7.753292092,Inf,Inf,34644,CG17217
FBgn0000114,2002.105843,3260.360055,0.000793009,202.0610713,1.628465381,0.703513051,34648,bru1
FBgn0041195,1.171613901,287.87373,4.01E-06,18.09253051,245.7069942,7.940795115,34651,Pkd2
FBgn0032428,2.407807509,67.41941508,0.000189415,8.022434762,28.00033426,4.807372145,34654,CG6405
FBgn0032430,231.9100761,86.23524092,1.77E-05,11.85767828,-2.689272664,-1.427216037,34656,CG6388
FBgn0020443,1455.28914,922.8674671,2.01E-05,44.29738449,-1.576921055,-0.657110437,34658,eRF3
FBgn0032445,63.75476147,160.4962373,8.05E-05,10.25148697,2.517400013,1.331934478,34675,CG6153
FBgn0032447,26.1813048,130.0452268,5.93E-07,4.743077138,4.967102588,2.312404544,34677,PICK1
FBgn0032453,782.9687153,642.364675,0.001087535,23.97779542,-1.218885075,-0.285562106,34683,CG6180
FBgn0032456,1577.392595,1322.92536,0.043930855,100.0843176,-1.192351922,-0.253810109,34686,MRP
FBgn0040508,0.144892335,784.4131272,7.55E-05,82.16439578,5413.765502,12.40241668,34689,ACXC
FBgn0040509,0,75.05432128,3.27E-06,4.576311579,Inf,Inf,53427,ACXB
FBgn0040510,0,487.8991204,2.05E-06,27.48361674,Inf,Inf,53432,ACXA
FBgn0040506,0,30.83571772,2.65E-07,1.230128996,Inf,Inf,53426,ACXE
FBgn0032464,1.99884205,1387.712548,9.91E-09,31.86983062,694.2582325,9.439328569,34695,Vha68-3
